Parent Node,Child Node,Level,Opportunity Value,# of Customers
Prediction Run Date,Cluster Class Overall,1,,
Prediction Run Date,Cluster Class by Sales Stage,1,,
Cluster Class Overall,Most Likely,2,,
Cluster Class Overall,Somewhat Likely,2,,
Cluster Class Overall,Swing,2,,
Cluster Class Overall,Somewhat Unlikely,2,,
Cluster Class Overall,Most Unlikely,2,,
Cluster Class by Sales Stage,Prospecting,2,,
Cluster Class by Sales Stage,Qualification,2,,
Cluster Class by Sales Stage,Needs Analysis,2,,
Cluster Class by Sales Stage,Value Proposition,2,,
Cluster Class by Sales Stage,Id. Decision Makers,2,,
Cluster Class by Sales Stage,Perception Analysis,2,,
Cluster Class by Sales Stage,Proposal/Price Quote,2,,
Cluster Class by Sales Stage,Negotiation/Review,2,,
Most Likely,Data Source,3,,
Most Likely,Recency,3,,
Most Likely,Relevance,3,,
Most Likely,Sentiment,3,,
Most Likely,Volume,3,,
Somewhat Likely,Data Source,3,,
Somewhat Likely,Recency,3,,
Somewhat Likely,Relevance,3,,
Somewhat Likely,Sentiment,3,,
Somewhat Likely,Volume,3,,
Swing,Data Source,3,,
Swing,Recency,3,,
Swing,Relevance,3,,
Swing,Sentiment,3,,
Swing,Volume,3,,
Somewhat Unlikely,Data Source,3,,
Somewhat Unlikely,Recency,3,,
Somewhat Unlikely,Relevance,3,,
Somewhat Unlikely,Sentiment,3,,
Somewhat Unlikely,Volume,3,,
Most Unlikely,Data Source,3,,
Most Unlikely,Recency,3,,
Most Unlikely,Relevance,3,,
Most Unlikely,Sentiment,3,,
Most Unlikely,Volume,3,,
Data Source,Web,4,,
Data Source,CRM,4,,
Data Source,HelpDesk,4,,
Data Source,Social Media,4,,
Data Source,Social History,4,,
Recency,Most Recent,4,,
Recency,Second Most Recent,4,,
Recency,Third Most Recent,4,,
Recency,Fourth Most Recent,4,,
Recency,Fifth Most Recent,4,,
Relevance,First Most Important,4,,
Relevance,Second Most Important,4,,
Relevance,Third Most Important,4,,
Sentiment,Positive,4,,
Sentiment,Negative,4,,
Volume,High,4,,
Volume,Medium,4,,
Volume,Low,4,,
Web,Recency,5,,
Web,Volume,5,,
Web,Relevance,5,,
CRM,Recency,5,,
CRM,Opportunity Value,5,,
CRM,Sentiment,5,,
CRM,Relevance,5,,
HelpDesk,Recency,5,,
HelpDesk,Relevance,5,,
HelpDesk,Sentiment,5,,
Social Media,Recency,5,,
Social Media,Sentiment,5,,
Prospecting,Most Likely,3,,
Prospecting,Somewhat Likely,3,,
Prospecting,Swing,3,,
Prospecting,Somewhat Unlikely,3,,
Prospecting,Most Unlikely,3,,
Qualification,Most Likely,3,,
Qualification,Somewhat Likely,3,,
Qualification,Swing,3,,
Qualification,Somewhat Unlikely,3,,
Qualification,Most Unlikely,3,,
Needs Analysis,Most Likely,3,,
Needs Analysis,Somewhat Likely,3,,
Needs Analysis,Swing,3,,
Needs Analysis,Somewhat Unlikely,3,,
Needs Analysis,Most Unlikely,3,,
Value Proposition,Most Likely,3,,
Value Proposition,Somewhat Likely,3,,
Value Proposition,Swing,3,,
Value Proposition,Somewhat Unlikely,3,,
Value Proposition,Most Unlikely,3,,
Id. Decision Makers,Most Likely,3,,
Id. Decision Makers,Somewhat Likely,3,,
Id. Decision Makers,Swing,3,,
Id. Decision Makers,Somewhat Unlikely,3,,
Id. Decision Makers,Most Unlikely,3,,
Perception Analysis,Most Likely,3,,
Perception Analysis,Somewhat Likely,3,,
Perception Analysis,Swing,3,,
Perception Analysis,Somewhat Unlikely,3,,
Perception Analysis,Most Unlikely,3,,
Proposal/Price Quote,Most Likely,3,,
Proposal/Price Quote,Somewhat Likely,3,,
Proposal/Price Quote,Swing,3,,
Proposal/Price Quote,Somewhat Unlikely,3,,
Proposal/Price Quote,Most Unlikely,3,,
Negotiation/Review,Most Likely,3,,
Negotiation/Review,Somewhat Likely,3,,
Negotiation/Review,Swing,3,,
Negotiation/Review,Somewhat Unlikely,3,,
Negotiation/Review,Most Unlikely,3,,
